,Country,Score,Family,Freedom,Trust,Economy,Health,year
0,Finland,1,2.0,5.0,4.0,22.0,27.0,2019
1,Denmark,2,4.0,6.0,3.0,14.0,23.0,2019
2,Norway,3,3.0,3.0,8.0,7.0,12.0,2019
3,Iceland,4,1.0,7.0,45.0,15.0,13.0,2019
4,Netherlands,5,15.0,19.0,12.0,12.0,18.0,2019
5,Switzerland,6,13.0,11.0,7.0,8.0,4.0,2019
6,Sweden,7,25.0,10.0,6.0,13.0,17.0,2019
7,New Zealand,8,5.0,8.0,5.0,26.0,14.0,2019
8,Canada,9,20.0,9.0,11.0,19.0,8.0,2019
9,Austria,10,31.0,26.0,19.0,16.0,15.0,2019
10,Australia,11,7.0,17.0,13.0,18.0,10.0,2019
11,Costa Rica,12,42.0,16.0,58.0,67.0,28.0,2019
12,Israel,13,38.0,93.0,74.0,31.0,11.0,2019
13,Luxembourg,14,27.0,28.0,9.0,2.0,16.0,2019
14,United Kingdom,15,9.0,63.0,15.0,23.0,24.0,2019
15,Ireland,16,6.0,33.0,10.0,6.0,20.0,2019
16,Germany,17,39.0,44.0,17.0,17.0,25.0,2019
17,Belgium,18,22.0,53.0,20.0,21.0,26.0,2019
18,United States,19,37.0,62.0,42.0,10.0,39.0,2019
19,Czech Republic,20,24.0,58.0,121.0,32.0,31.0,2019
20,United Arab Emirates,21,72.0,4.0,,4.0,60.0,2019
21,Malta,22,16.0,12.0,32.0,28.0,19.0,2019
22,Mexico,23,67.0,71.0,87.0,57.0,46.0,2019
23,France,24,32.0,69.0,21.0,25.0,5.0,2019
24,Taiwan,25,48.0,102.0,56.0,,,2019
25,Chile,26,58.0,98.0,99.0,49.0,30.0,2019
26,Guatemala,27,78.0,25.0,82.0,99.0,85.0,2019
27,Saudi Arabia,28,62.0,68.0,,11.0,74.0,2019
28,Qatar,29,,,,1.0,43.0,2019
29,Spain,30,26.0,95.0,78.0,30.0,3.0,2019
30,Panama,31,41.0,32.0,104.0,51.0,33.0,2019
31,Brazil,32,43.0,84.0,71.0,70.0,72.0,2019
32,Uruguay,33,35.0,30.0,33.0,52.0,35.0,2019
33,Singapore,34,36.0,20.0,1.0,3.0,1.0,2019
34,El Salvador,35,83.0,74.0,85.0,100.0,75.0,2019
35,Italy,36,23.0,132.0,128.0,29.0,7.0,2019
36,Bahrain,37,59.0,24.0,,20.0,42.0,2019
37,Slovakia,38,21.0,108.0,142.0,35.0,38.0,2019
38,Trinidad and Tobago,39,29.0,51.0,141.0,38.0,93.0,2019
39,Poland,40,44.0,52.0,108.0,41.0,36.0,2019
40,Uzbekistan,41,11.0,1.0,18.0,104.0,83.0,2019
41,Lithuania,42,17.0,122.0,113.0,36.0,62.0,2019
42,Colombia,43,52.0,56.0,124.0,74.0,51.0,2019
43,Slovenia,44,14.0,13.0,97.0,34.0,29.0,2019
44,Nicaragua,45,66.0,70.0,43.0,108.0,53.0,2019
45,Kosovo,46,85.0,50.0,144.0,88.0,,2019
46,Argentina,47,46.0,54.0,109.0,55.0,37.0,2019
47,Romania,48,86.0,57.0,146.0,48.0,61.0,2019
48,Cyprus,49,90.0,81.0,115.0,33.0,6.0,2019
49,Ecuador,50,71.0,42.0,68.0,86.0,45.0,2019
50,Kuwait,51,69.0,47.0,,5.0,70.0,2019
51,Thailand,52,53.0,18.0,131.0,62.0,58.0,2019
52,Latvia,53,34.0,126.0,92.0,43.0,68.0,2019
53,South Korea,54,91.0,144.0,100.0,27.0,9.0,2019
54,Estonia,55,12.0,45.0,30.0,37.0,41.0,2019
55,Jamaica,56,28.0,49.0,130.0,93.0,55.0,2019
56,Mauritius,57,54.0,40.0,96.0,53.0,73.0,2019
57,Japan,58,50.0,64.0,39.0,24.0,2.0,2019
58,Honduras,59,84.0,39.0,79.0,113.0,57.0,2019
59,Kazakhstan,60,19.0,80.0,57.0,47.0,88.0,2019
60,Bolivia,61,93.0,35.0,91.0,101.0,94.0,2019
61,Hungary,62,51.0,138.0,140.0,42.0,56.0,2019
62,Paraguay,63,30.0,34.0,76.0,90.0,81.0,2019
63,Northern Cyprus,64,81.0,77.0,29.0,,,2019
64,Peru,65,77.0,61.0,132.0,76.0,47.0,2019
65,Portugal,66,47.0,37.0,135.0,39.0,22.0,2019
66,Pakistan,67,130.0,114.0,55.0,110.0,114.0,2019
67,Russia,68,40.0,107.0,127.0,45.0,89.0,2019
68,Philippines,69,75.0,15.0,49.0,97.0,99.0,2019
69,Serbia,70,57.0,124.0,118.0,71.0,48.0,2019
70,Moldova,71,65.0,128.0,148.0,109.0,86.0,2019
71,Libya,72,73.0,79.0,31.0,63.0,96.0,2019
72,Montenegro,73,60.0,139.0,77.0,61.0,44.0,2019
73,Tajikistan,74,113.0,86.0,35.0,123.0,92.0,2019
74,Croatia,75,79.0,118.0,139.0,50.0,32.0,2019
75,Hong Kong,76,76.0,66.0,14.0,9.0,,2019
76,Dominican Republic,77,55.0,43.0,52.0,69.0,80.0,2019
77,Bosnia and Herzegovina ,78,92.0,137.0,145.0,82.0,50.0,2019
78,Turkey,79,61.0,140.0,50.0,44.0,69.0,2019
79,Malaysia,80,97.0,36.0,137.0,40.0,59.0,2019
80,Belarus,81,33.0,131.0,37.0,58.0,76.0,2019
81,Greece,82,102.0,150.0,123.0,46.0,21.0,2019
82,Mongolia,83,10.0,112.0,119.0,80.0,97.0,2019
83,Macedonia,84,74.0,105.0,125.0,75.0,52.0,2019
84,Nigeria,85,111.0,75.0,114.0,107.0,145.0,2019
85,Kyrgyzstan,86,45.0,38.0,138.0,120.0,91.0,2019
86,Turkmenistan,87,8.0,83.0,,60.0,100.0,2019
87,Algeria,88,101.0,149.0,46.0,72.0,78.0,2019
88,Morocco,89,139.0,76.0,84.0,98.0,79.0,2019
89,Azerbaijan,90,104.0,101.0,22.0,65.0,82.0,2019
90,Lebanon,91,89.0,136.0,133.0,73.0,66.0,2019
91,Indonesia,92,94.0,48.0,129.0,83.0,98.0,2019
92,China,93,108.0,31.0,,68.0,34.0,2019
93,Vietnam,94,64.0,23.0,86.0,105.0,49.0,2019
94,Bhutan,95,68.0,59.0,25.0,95.0,104.0,2019
95,Cameroon,96,129.0,90.0,120.0,121.0,141.0,2019
96,Bulgaria,97,18.0,115.0,147.0,56.0,65.0,2019
97,Ghana,98,132.0,91.0,117.0,114.0,121.0,2019
98,Ivory Coast,99,137.0,100.0,62.0,118.0,147.0,2019
99,Nepal,100,87.0,67.0,65.0,127.0,95.0,2019
100,Jordan,101,88.0,88.0,,92.0,63.0,2019
101,Benin,102,153.0,103.0,75.0,128.0,133.0,2019
102,Congo (Brazzaville),103,138.0,92.0,60.0,111.0,116.0,2019
103,Gabon,104,95.0,119.0,103.0,59.0,108.0,2019
104,Laos,105,120.0,22.0,27.0,102.0,112.0,2019
105,South Africa,106,63.0,85.0,102.0,77.0,123.0,2019
106,Albania,107,133.0,87.0,134.0,81.0,40.0,2019
107,Venezuela,108,49.0,145.0,110.0,78.0,71.0,2019
108,Cambodia,109,109.0,2.0,94.0,116.0,102.0,2019
109,Palestinian Territories,110,82.0,134.0,90.0,112.0,,2019
110,Senegal,111,106.0,121.0,88.0,126.0,109.0,2019
111,Somalia,112,145.0,14.0,16.0,,144.0,2019
112,Namibia,113,70.0,82.0,98.0,89.0,122.0,2019
113,Niger,114,140.0,111.0,51.0,148.0,138.0,2019
114,Burkina Faso,115,116.0,127.0,47.0,137.0,136.0,2019
115,Armenia,116,117.0,123.0,93.0,91.0,64.0,2019
116,Iran,117,134.0,117.0,44.0,54.0,77.0,2019
117,Guinea,118,136.0,109.0,70.0,130.0,137.0,2019
118,Georgia,119,147.0,104.0,28.0,87.0,84.0,2019
119,Gambia,120,125.0,89.0,26.0,139.0,130.0,2019
120,Kenya,121,123.0,72.0,105.0,122.0,106.0,2019
121,Mauritania,122,99.0,151.0,67.0,117.0,120.0,2019
122,Mozambique,123,122.0,46.0,40.0,146.0,134.0,2019
123,Tunisia,124,121.0,143.0,101.0,84.0,67.0,2019
124,Bangladesh,125,126.0,27.0,36.0,119.0,90.0,2019
125,Iraq,126,124.0,130.0,66.0,64.0,107.0,2019
126,Congo (Kinshasa),127,107.0,125.0,106.0,149.0,140.0,2019
127,Mali,128,112.0,110.0,107.0,129.0,142.0,2019
128,Sierra Leone,129,135.0,116.0,112.0,145.0,146.0,2019
129,Sri Lanka,130,80.0,55.0,111.0,79.0,54.0,2019
130,Myanmar,131,96.0,29.0,24.0,106.0,110.0,2019
131,Chad,132,141.0,142.0,80.0,133.0,148.0,2019
132,Ukraine,133,56.0,141.0,143.0,94.0,87.0,2019
133,Ethiopia,134,119.0,106.0,53.0,135.0,115.0,2019
134,Swaziland,135,103.0,113.0,41.0,96.0,,2019
135,Uganda,136,114.0,99.0,95.0,136.0,127.0,2019
136,Egypt,137,118.0,129.0,89.0,85.0,101.0,2019
137,Zambia,138,115.0,73.0,69.0,115.0,131.0,2019
138,Togo,139,149.0,120.0,72.0,142.0,132.0,2019
139,India,140,142.0,41.0,73.0,103.0,105.0,2019
140,Liberia,141,127.0,94.0,126.0,150.0,126.0,2019
141,Comoros,142,143.0,148.0,81.0,143.0,117.0,2019
142,Madagascar,143,128.0,146.0,116.0,144.0,111.0,2019
143,Lesotho,144,98.0,97.0,59.0,124.0,149.0,2019
144,Burundi,145,152.0,135.0,23.0,151.0,135.0,2019
145,Zimbabwe,146,110.0,96.0,63.0,131.0,129.0,2019
146,Haiti,147,146.0,152.0,48.0,138.0,125.0,2019
147,Botswana,148,105.0,60.0,54.0,66.0,113.0,2019
148,Syria,149,154.0,153.0,38.0,,128.0,2019
149,Malawi,150,150.0,65.0,64.0,147.0,119.0,2019
150,Yemen,151,100.0,147.0,83.0,141.0,124.0,2019
151,Rwanda,152,144.0,21.0,2.0,132.0,103.0,2019
152,Tanzania,153,131.0,78.0,34.0,125.0,118.0,2019
153,Afghanistan,154,151.0,155.0,136.0,134.0,139.0,2019
154,Central African Republic,155,155.0,133.0,122.0,152.0,150.0,2019
155,South Sudan,156,148.0,154.0,61.0,140.0,143.0,2019
